,state,abbreviation,staff_tests,staff_tests_with_multiples,total_staff_cases,staff_recovered,total_staff_deaths,staff_partial_dose,staff_full_dose,prisoner_tests,prisoner_tests_with_multiples,total_prisoner_cases,prisoners_recovered,total_prisoner_deaths,prisoners_partial_dose,prisoners_full_dose,as_of_date,notes
1367,tennessee,TN,,,1136.0,899.0,2.0,0.0,0.0,,,6194.0,6058.0,31.0,0.0,0.0,2020-12-22,vaccine numbers sent via email from PIO
1368,texas,TX,,111117.0,8058.0,6772.0,28.0,,,,276831.0,27640.0,25412.0,235.0,0.0,0.0,2020-12-22,We have revised this week's prisoner deaths totals based on data from the Texas Justice Initiative.
1369,utah,UT,,,252.0,205.0,,,,,16476.0,2627.0,1622.0,11.0,,,2020-12-21,
1370,vermont,VT,,,30.0,29.0,0.0,0.0,0.0,2520.0,10430.0,242.0,240.0,0.0,0.0,0.0,2020-12-22,vaccine numbers sent via email from PIO
1371,virginia,VA,,,1566.0,1241.0,1.0,0.0,0.0,,71205.0,6740.0,5178.0,39.0,0.0,0.0,2020-12-22,
1372,washington,WA,,,706.0,,1.0,0.0,0.0,7954.0,9276.0,3630.0,1371.0,5.0,0.0,0.0,2020-12-22,
1373,west virginia,WV,,6781.0,334.0,304.0,0.0,,,,8766.0,965.0,868.0,4.0,0.0,0.0,2020-12-22,"West Virginia began administering vaccines to staff on 12/22, but did not have numbers available for that date yet."
1374,wisconsin,WI,,,2162.0,2037.0,,0.0,0.0,,78297.0,9639.0,9258.0,19.0,0.0,0.0,2020-12-22,vaccine numbers sent via email from PIO
1375,wyoming,WY,,,214.0,203.0,0.0,0.0,0.0,,16126.0,524.0,443.0,1.0,0.0,0.0,2020-12-22,Wyoming prisoner death backfilled from 1/22 announcement
1376,federal,US,,,4340.0,2718.0,2.0,,,92765.0,,36533.0,30296.0,183.0,,,2020-12-22,Have started vaccinating staff and prisoners but won't release numbers yet. The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
1377,alabama,AL,,,769.0,502.0,2.0,,,,10805.0,1068.0,944.0,48.0,,,2020-12-14,
1378,alaska,AK,,,179.0,,0.0,,,,14870.0,1539.0,,3.0,,,2020-12-16,
1379,arizona,AZ,,,1485.0,1197.0,,,,42401.0,,5463.0,3177.0,33.0,,,2020-12-15,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
1380,arkansas,AR,,,,,2.0,,,,,9745.0,9241.0,50.0,,,2020-12-15,The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count.
1381,california,CA,,,8958.0,6146.0,10.0,,,114684.0,,30745.0,20865.0,101.0,,,2020-12-15,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
1382,colorado,CO,,,1097.0,,0.0,,,17712.0,112599.0,6276.0,,17.0,,,2020-12-15,
1383,connecticut,CT,,,,,,,,,,,,,,,,
1384,delaware,DE,,,,,1.0,,,,,,,,,,2020-12-15,
1385,florida,FL,,,4073.0,3729.0,4.0,,,,85222.0,17208.0,16851.0,189.0,,,2020-12-16,
1386,georgia,GA,,,1183.0,1065.0,2.0,,,,,2488.0,2200.0,83.0,,,2020-12-15,
1387,hawaii,HI,,,170.0,128.0,0.0,,,,11678.0,1467.0,1290.0,1.0,,,2020-12-15,
1388,idaho,ID,,,380.0,328.0,0.0,,,9653.0,,3408.0,2131.0,6.0,,,2020-12-15,
1389,illinois,IL,,,3002.0,2579.0,,,,,,5890.0,4607.0,,,,2020-12-15,
1390,indiana,IN,,4567.0,1181.0,943.0,3.0,,,,12262.0,2790.0,2520.0,40.0,,,2020-12-15,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. This caused in some weeks in January the number of recovered cases to be higher than the total number of people who tested positive. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
1391,iowa,IA,,,578.0,530.0,2.0,,,,30588.0,3732.0,3609.0,12.0,,,2020-12-15,
1392,kansas,KS,,,898.0,,3.0,,,,,5156.0,,11.0,,,2020-12-14,
1393,kentucky,KY,,,477.0,412.0,3.0,,,,,3123.0,2676.0,28.0,,,2020-12-15,
1394,louisiana,LA,2152.0,,654.0,582.0,5.0,,,7282.0,,2608.0,2496.0,31.0,,,2020-12-15,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
1395,maine,ME,,,35.0,26.0,0.0,,,,6195.0,151.0,150.0,0.0,,,2020-12-15,
1396,maryland,MD,,38570.0,1374.0,1162.0,2.0,,,,41657.0,2342.0,2085.0,16.0,,,2020-12-14,"Maryland changed from counting individuals tested to tests administered, and this has been updated accordingly."
1397,massachusetts,MA,,,609.0,,,,,,20181.0,1642.0,,11.0,,,2020-12-16,
1398,michigan,MI,,80064.0,2559.0,1566.0,3.0,,,39805.0,348848.0,20006.0,6481.0,99.0,,,2020-12-15,
1399,minnesota,MN,,,894.0,694.0,0.0,,,,80747.0,3436.0,2824.0,8.0,,,2020-12-15,"Subtracted 38 presumed positives from inmate recovery numbers, which we have to do each week. Staff returned to work numbers are fine as is. These 38 are from some time in April - since they switched to a new testing method, they don't have new presumed positives that will be added to this column."
1400,mississippi,MS,,573.0,220.0,161.0,,,,,3125.0,1288.0,,,,,2020-12-14,
1401,missouri,MO,,12321.0,2144.0,2012.0,4.0,,,,61919.0,4946.0,4705.0,37.0,,,2020-12-15,
1402,montana,MT,,,260.0,,0.0,,,,,1113.0,,6.0,,,2020-12-14,"Staff cases include 55 employees of the Crossroads Correctional Facility, run by CoreCivic."
1403,nebraska,NE,,,,,,,,3447.0,5743.0,855.0,720.0,6.0,,,2020-12-18,
1404,nevada,NV,,,680.0,68.0,2.0,,,,,3181.0,28.0,30.0,,,2020-12-15,"In April, Nevada revised its cases and deaths for this week. "
1405,new hampshire,NH,,,73.0,50.0,0.0,,,,791.0,171.0,24.0,0.0,,,2020-12-15,
1406,new jersey,NJ,,97825.0,1748.0,,,,,,157745.0,3602.0,,52.0,,,2020-12-13,"In May 2021, New Jersey's Department of Corrections revised much of its historic data for tests and cases among prisoners and staff. These figures revealed many new cases but also exclude prisoner cases in residential community release programs that were reported prior to August of 2020, including one death. We have retained the one death in a reentry center, but otherwise are now reporting only data for prisons. We have updated this week accordingly."
1407,new mexico,NM,,,748.0,494.0,0.0,,,,25315.0,2009.0,1524.0,14.0,,,2020-12-15,
1408,new york,NY,,,2333.0,1764.0,6.0,,,36020.0,,2156.0,1791.0,18.0,,,2020-12-15,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
1409,north carolina,NC,,18597.0,2003.0,1553.0,6.0,,,36963.0,72700.0,6687.0,5532.0,29.0,,,2020-12-16,
1410,north dakota,ND,996.0,13151.0,231.0,217.0,0.0,,,2571.0,17540.0,580.0,510.0,1.0,,,2020-12-15,"In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly."
1411,ohio,OH,,,3108.0,2587.0,7.0,,,,47571.0,8289.0,6299.0,118.0,,,2020-12-15,
1412,oklahoma,OK,,7064.0,736.0,,,,,,25299.0,6652.0,,37.0,,,2020-12-15,
1413,oregon,OR,,,460.0,399.0,0.0,,,,12978.0,1673.0,1369.0,19.0,,,2020-12-15,
1414,pennsylvania,PA,,5122.0,2009.0,1693.0,,,,,53397.0,6046.0,2550.0,49.0,,,2020-12-15,"In April of 2021, Pennsylvania revised its historic daily counts on deaths of prisoners due to COVID-19. We've adjusted our number here to reflect the change. Pennsylvania has stopped reporting negative results for community corrections staff and prisoners, as it did in previous weeks, so going forward the number of tests will be an undercount."
1415,rhode island,RI,,,272.0,,1.0,,,,,790.0,,0.0,,,2020-12-17,
1416,south carolina,SC,,,623.0,564.0,2.0,,,8506.0,,2448.0,2299.0,33.0,,,2020-12-15,
1417,south dakota,SD,,382.0,172.0,169.0,0.0,,,,5924.0,2305.0,2282.0,5.0,,,2020-12-15,
1418,tennessee,TN,,8554.0,1051.0,853.0,2.0,,,,,6137.0,6032.0,29.0,,,2020-12-15,"Tennessee later revised their numbers of prisoner tests down, but were not able to provide an updated figure for this week."
1419,texas,TX,,102070.0,7610.0,6535.0,27.0,,,,263704.0,27171.0,24058.0,235.0,,,2020-12-15,We have revised this week's prisoner deaths totals based on data from the Texas Justice Initiative.
1420,utah,UT,,,242.0,172.0,,,,,13663.0,2282.0,1050.0,10.0,,,2020-12-16,
1421,vermont,VT,,,29.0,28.0,0.0,,,2495.0,9807.0,241.0,230.0,0.0,,,2020-12-15,"The number of recoveries dropped this week. ""9 incarcerated individuals in Mississippi tested positive again during mass testing. All 9 individuals were part of the original group of 185 that tested positive at TCCF, so these are not new unique positive cases."""
1422,virginia,VA,,,1406.0,1114.0,1.0,,,,66757.0,6132.0,4766.0,35.0,,,2020-12-15,
1423,washington,WA,,,552.0,,1.0,,,7174.0,8236.0,2630.0,899.0,4.0,,,2020-12-15,
1424,west virginia,WV,,6439.0,306.0,288.0,0.0,,,,8262.0,900.0,833.0,4.0,,,2020-12-15,
1425,wisconsin,WI,,,2054.0,1890.0,,,,,76566.0,9566.0,8822.0,19.0,,,2020-12-15,
1426,wyoming,WY,,,214.0,194.0,0.0,,,,14713.0,523.0,443.0,0.0,,,2020-12-18,
1427,federal,US,,,4159.0,2398.0,2.0,,,88506.0,,33410.0,27075.0,175.0,,,2020-12-15,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
1428,alabama,AL,,,729.0,479.0,2.0,,,,10584.0,1033.0,782.0,43.0,,,2020-12-09,
1429,alaska,AK,,,147.0,,0.0,,,,13603.0,1217.0,,3.0,,,2020-12-08,
1430,arizona,AZ,,,1296.0,1008.0,,,,42173.0,,4293.0,2866.0,32.0,,,2020-12-08,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
1431,arkansas,AR,,,,,2.0,,,,,9386.0,8371.0,49.0,,,2020-12-08,The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count.
1432,california,CA,,,7498.0,5306.0,10.0,,,112802.0,,24782.0,18844.0,93.0,,,2020-12-08,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
1433,colorado,CO,,,1011.0,,0.0,,,17690.0,105821.0,5754.0,,14.0,,,2020-12-08,
1434,connecticut,CT,,20827.0,827.0,604.0,0.0,,,,25291.0,2382.0,1942.0,10.0,,,2020-12-08,
1435,delaware,DE,,,,,1.0,,,,,,,,,,2020-12-08,
1436,florida,FL,,,3949.0,3716.0,4.0,,,,85157.0,17037.0,16498.0,189.0,,,2020-12-09,
1437,georgia,GA,,,1127.0,1035.0,2.0,,,,,2406.0,2182.0,82.0,,,2020-12-08,
1438,hawaii,HI,,,138.0,128.0,0.0,,,,10616.0,1296.0,1215.0,1.0,,,2020-12-08,
1439,idaho,ID,3636.0,,346.0,283.0,0.0,,,9500.0,,2934.0,1976.0,6.0,,,2020-12-08,
1440,illinois,IL,,10859.0,2758.0,2319.0,1.0,,,,24644.0,5219.0,3901.0,50.0,,,2020-12-08,
1441,indiana,IN,,4282.0,1073.0,839.0,3.0,,,,11537.0,2604.0,2109.0,40.0,,,2020-12-08,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. This caused in some weeks in January the number of recovered cases to be higher than the total number of people who tested positive. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
1442,iowa,IA,,,548.0,496.0,2.0,,,,29792.0,3666.0,3295.0,11.0,,,2020-12-08,
1443,kansas,KS,,,872.0,,3.0,,,,,5111.0,,11.0,,,2020-12-10,
1444,kentucky,KY,,,456.0,387.0,3.0,,,,,2895.0,2572.0,24.0,,,2020-12-08,
1445,louisiana,LA,2138.0,,618.0,562.0,5.0,,,7167.0,,2592.0,2483.0,31.0,,,2020-12-08,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
1446,maine,ME,,,32.0,23.0,0.0,,,,5850.0,150.0,150.0,0.0,,,2020-12-08,
1447,maryland,MD,,36509.0,1255.0,1004.0,2.0,,,,40453.0,2173.0,1717.0,14.0,,,2020-12-07,"Maryland changed from counting individuals tested to tests administered, and this has been updated accordingly."
1448,massachusetts,MA,,,519.0,,,,,,18679.0,1514.0,,9.0,,,2020-12-09,
1449,michigan,MI,,80064.0,2306.0,,3.0,,,39795.0,343582.0,17180.0,6246.0,94.0,,,2020-12-08,
1450,minnesota,MN,,,862.0,644.0,0.0,,,,77467.0,3292.0,2532.0,6.0,,,2020-12-08,"Subtracted 38 presumed positives from inmate recovery numbers, which we have to do each week. Staff returned to work numbers are fine as is. These 38 are from some time in April - since they switched to a new testing method, they don't have new presumed positives that will be added to this column."
1451,mississippi,MS,,464.0,146.0,,,,,,3082.0,1288.0,,,,,2020-12-11,
1452,missouri,MO,,12268.0,2104.0,1953.0,4.0,,,,60946.0,4951.0,4580.0,37.0,,,2020-12-09,Missouri's total cases omitted deaths and has been updated.
1453,montana,MT,,,255.0,,0.0,,,,,1053.0,,4.0,,,2020-12-08,"Staff cases include 55 employees of the Crossroads Correctional Facility, run by CoreCivic. Initially this inadvertantly included a juvenile facility and has been updated."
1454,nebraska,NE,,,,,,,,3342.0,5525.0,786.0,666.0,6.0,,,2020-12-11,
1455,nevada,NV,,,603.0,,2.0,,,,,2333.0,,19.0,,,2020-12-08,"In April, Nevada revised its cases and deaths for this week. We believe the jumps in cases this week are due to counting changes and earlier weeks may have been artificially lower, particularly for deaths."
1456,new hampshire,NH,,,57.0,,,,,,470.0,,,0.0,,,2020-12-09,
1457,new jersey,NJ,,91639.0,1610.0,,,,,,,,,52.0,,,2020-12-06,"In May 2021, New Jersey's Department of Corrections revised much of its historic data for tests and cases among prisoners and staff. These figures revealed many new cases but also exclude prisoner cases in residential community release programs that were reported prior to August of 2020, including one death. We have retained the one death in a reentry center, but otherwise are now reporting only data for prisons. We have updated this week accordingly."
1458,new mexico,NM,,,656.0,376.0,0.0,,,,24670.0,1786.0,1495.0,14.0,,,2020-12-08,
1459,new york,NY,,,2103.0,1650.0,6.0,,,35936.0,,1959.0,1755.0,18.0,,,2020-12-10,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
1460,north carolina,NC,14297.0,,1887.0,1441.0,5.0,,,36385.0,65570.0,6059.0,5071.0,28.0,,,2020-12-08,
1461,north dakota,ND,996.0,12686.0,223.0,202.0,0.0,,,2545.0,16890.0,512.0,479.0,1.0,,,2020-12-08,"In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly."
1462,ohio,OH,,,2851.0,2286.0,7.0,,,,45726.0,8031.0,6083.0,116.0,,,2020-12-08,
1463,oklahoma,OK,,5586.0,683.0,,,,,,24151.0,6360.0,,35.0,,,2020-12-08,
1464,oregon,OR,,,435.0,373.0,0.0,,,,11276.0,1507.0,1319.0,18.0,,,2020-12-08,
1465,pennsylvania,PA,,4472.0,1827.0,772.0,3.0,,,,37409.0,3228.0,820.0,39.0,,,2020-12-08,"In April of 2021, Pennsylvania revised its historic daily counts on deaths of prisoners due to COVID-19. We've adjusted our number here to reflect the change."
1466,rhode island,RI,,,253.0,,0.0,,,,,,,0.0,,,2020-12-10,
1467,south carolina,SC,,,584.0,544.0,2.0,,,8427.0,,2418.0,2218.0,33.0,,,2020-12-09,
1468,south dakota,SD,,379.0,171.0,160.0,0.0,,,,5452.0,2287.0,2150.0,4.0,,,2020-12-08,
1469,tennessee,TN,,,929.0,784.0,2.0,,,,,6075.0,5995.0,28.0,,,2020-12-09,"Tennessee later revised their numbers of prisoner tests down, but were not able to provide an updated figure for this week."
1470,texas,TX,,97575.0,7317.0,6191.0,25.0,,,,256286.0,26807.0,23821.0,234.0,,,2020-12-08,We have revised this week's prisoner deaths totals based on data from the Texas Justice Initiative.
1471,utah,UT,,,210.0,166.0,0.0,,,,12429.0,1906.0,753.0,9.0,,,2020-12-08,
1472,vermont,VT,,,29.0,26.0,0.0,,,2466.0,9317.0,241.0,239.0,0.0,,,2020-12-08,
1473,virginia,VA,,16092.0,1251.0,1024.0,1.0,,,,63211.0,5213.0,4515.0,35.0,,,2020-12-09,
1474,washington,WA,,,441.0,,1.0,,,6738.0,7675.0,2069.0,686.0,3.0,,,2020-12-08,
1475,west virginia,WV,,6205.0,298.0,247.0,0.0,,,,8172.0,848.0,719.0,4.0,,,2020-12-08,
1476,wisconsin,WI,,,1974.0,1802.0,,,,,74524.0,9395.0,8131.0,16.0,,,2020-12-08,
1477,wyoming,WY,,,194.0,180.0,0.0,,,,13439.0,448.0,432.0,0.0,,,2020-12-08,
1478,federal,US,,,3791.0,2142.0,2.0,,,84267.0,,30312.0,23577.0,165.0,,,2020-12-08,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
1479,alabama,AL,,,667.0,439.0,2.0,,,,7032.0,855.0,735.0,34.0,,,2020-11-30,
1480,alaska,AK,,,129.0,,0.0,,,,11931.0,851.0,,2.0,,,2020-12-01,
1481,arizona,AZ,,,1111.0,899.0,,,,42115.0,,3176.0,2780.0,28.0,,,2020-12-01,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
1482,arkansas,AR,5114.0,,813.0,,2.0,,,19960.0,,9014.0,,49.0,,,2020-12-01,The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count.
1483,california,CA,,,6939.0,5117.0,10.0,,,112305.0,,22508.0,18028.0,90.0,,,2020-12-04,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
1484,colorado,CO,,,817.0,,0.0,,,17469.0,95756.0,4548.0,,11.0,,,2020-12-01,
1485,connecticut,CT,,19677.0,732.0,574.0,0.0,,,,23246.0,1930.0,1785.0,8.0,,,2020-12-01,
1486,delaware,DE,,2568.0,339.0,228.0,1.0,,,,7198.0,1093.0,715.0,11.0,,,2020-12-01,"Testing data as of 12/3, rest of the data as of 12/1. Staff tests only reflect tests given to DOC staff as tests given to contract employees is maintained by a healthcare contractor."
1487,florida,FL,,,3845.0,3567.0,4.0,,,,84534.0,17021.0,16414.0,189.0,,,2020-12-02,
1488,georgia,GA,,,1091.0,994.0,2.0,,,,,2352.0,2119.0,82.0,,,2020-12-01,
1489,hawaii,HI,,,135.0,115.0,0.0,,,,9492.0,1248.0,989.0,1.0,,,2020-12-01,
1490,idaho,ID,3340.0,,302.0,254.0,0.0,,,9442.0,,2633.0,1874.0,5.0,,,2020-12-01,Included in the 307 positive staffers are 5 who later tested positive a second time.
1491,illinois,IL,8728.0,,2485.0,2041.0,1.0,,,19275.0,,4530.0,3288.0,45.0,,,2020-12-01,
1492,indiana,IN,,3951.0,956.0,726.0,3.0,,,,10673.0,2291.0,2009.0,37.0,,,2020-12-01,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
1493,iowa,IA,,,521.0,463.0,2.0,,,,28304.0,3374.0,3171.0,10.0,,,2020-12-01,
1494,kansas,KS,,,802.0,,3.0,,,,,4960.0,,11.0,,,2020-12-03,
1495,kentucky,KY,,,425.0,330.0,2.0,,,,,2706.0,2371.0,17.0,,,2020-12-01,
1496,louisiana,LA,2100.0,,593.0,533.0,5.0,,,7147.0,,2575.0,2421.0,31.0,,,2020-12-01,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
1497,maine,ME,,,32.0,23.0,0.0,,,,5800.0,150.0,150.0,0.0,,,2020-12-01,"Maine later revised the number of staff who have recovered, and the figure has been updated here."
1498,maryland,MD,,35180.0,1129.0,879.0,2.0,,,,38256.0,1673.0,1268.0,13.0,,,2020-11-30,"Maryland changed from counting individuals tested to tests administered, and this has been updated accordingly."
1499,massachusetts,MA,,,437.0,,,,,,17569.0,1255.0,,8.0,,,2020-12-02,
1500,michigan,MI,,73119.0,1981.0,,3.0,,,39740.0,319405.0,13940.0,6070.0,88.0,,,2020-12-01,
1501,minnesota,MN,,,816.0,558.0,0.0,,,,72318.0,3069.0,2424.0,5.0,,,2020-12-01,"Subtracted 38 presumed positives from inmate recovery numbers, which we have to do each week. Staff returned to work numbers are fine as is. These 38 are from some time in April - since they switched to a new testing method, they don't have new presumed positives that will be added to this column."
1502,mississippi,MS,,464.0,146.0,,,,,,2282.0,902.0,,,,,2020-11-30,
1503,missouri,MO,,12181.0,1938.0,1717.0,4.0,,,,59757.0,4660.0,4041.0,33.0,,,2020-12-01,"Staff numbers include 209 non-prison staff, 187 of which have recovered."
1504,montana,MT,,,266.0,,0.0,,,,,1011.0,,4.0,,,2020-11-30,"Staff cases include 55 employees of the Crossroads Correctional Facility, run by CoreCivic."
1505,nebraska,NE,,,359.0,257.0,,,,3268.0,5200.0,743.0,502.0,5.0,,,2020-12-04,
1506,nevada,NV,,,359.0,67.0,2.0,,,,,1044.0,27.0,2.0,,,2020-12-01,"In late December, Nevada revised its number of deaths and this week's figures were adjusted accordingly."
1507,new hampshire,NH,,,42.0,19.0,0.0,,,385.0,,13.0,1.0,0.0,,,2020-12-01,
1508,new jersey,NJ,,85210.0,1497.0,,,,,,144481.0,3372.0,,52.0,,,2020-11-29,"In May 2021, New Jersey's Department of Corrections revised much of its historic data for tests and cases among prisoners and staff. These figures revealed many new cases but also exclude prisoner cases in residential community release programs that were reported prior to August of 2020, including one death. We have retained the one death in a reentry center, but otherwise are now reporting only data for prisons. We have updated this week accordingly."
1509,new mexico,NM,,,604.0,300.0,0.0,,,,22474.0,1592.0,579.0,11.0,,,2020-12-01,
1510,new york,NY,,,1896.0,1580.0,6.0,,,35899.0,,1826.0,1682.0,18.0,,,2020-12-02,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
1511,north carolina,NC,,11063.0,1647.0,1305.0,5.0,,,36257.0,63444.0,5724.0,4556.0,24.0,,,2020-12-02,
1512,north dakota,ND,993.0,12197.0,217.0,200.0,0.0,,,2498.0,16028.0,484.0,431.0,0.0,,,2020-12-01,"We initially inadvertantly included juvenile facilities in our staff counts and have updated them since. In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly."
1513,ohio,OH,,,2544.0,1963.0,7.0,,,,44412.0,7795.0,5865.0,115.0,,,2020-12-01,"Ohio revised its November numbers slightly, and we've adjusted this week's totals accordingly."
1514,oklahoma,OK,,5086.0,650.0,,,,,,22853.0,5850.0,,33.0,,,2020-12-01,
1515,oregon,OR,,,396.0,322.0,0.0,,,,10340.0,1396.0,1282.0,17.0,,,2020-12-01,
1516,pennsylvania,PA,,4046.0,1324.0,673.0,3.0,,,,36456.0,2557.0,816.0,35.0,,,2020-12-01,
1517,rhode island,RI,,,232.0,,0.0,,,,,605.0,,0.0,,,2020-12-01,"For staff: there were 182 cases among facility staff and 68 cases among non-facility staff. There have also been 13 presumptive positive cases among staff through 11/19, and an additional 5 presumptive positive cases for staff between 11/23 and 12/10. We've subtracted all presumptive positive cases for this 12/1 figure, which may be a slight overcount or undercount depending on the number of presumptive positive cases between 11/19-11/23 and between 12/1-12/10.

For prisoners: similar issues hold for calculating the right number of presumptive positive cases. Our figure reflects 574 cases among residents and 49 cases among newly admitted residents who were infected prior to admission. We subtract 18 total presumptive positive cases from this figure."
1518,south carolina,SC,,,574.0,529.0,2.0,,,8407.0,20607.0,2411.0,2215.0,32.0,,,2020-12-01,
1519,south dakota,SD,,369.0,164.0,155.0,0.0,,,,4909.0,2159.0,2079.0,4.0,,,2020-12-01,
1520,tennessee,TN,,8141.0,795.0,681.0,2.0,,,,,6025.0,5960.0,28.0,,,2020-12-02,"Tennessee later revised their numbers of prisoner tests down, but were not able to provide an updated figure for this week."
1521,texas,TX,,93239.0,6895.0,5759.0,23.0,,,,247831.0,26473.0,23617.0,234.0,,,2020-12-01,We have revised this week's prisoner deaths totals based on data from the Texas Justice Initiative.
1522,utah,UT,,,168.0,120.0,0.0,,,,9993.0,1461.0,716.0,9.0,,,2020-11-30,
1523,vermont,VT,,,27.0,24.0,0.0,,,2421.0,8820.0,241.0,239.0,0.0,,,2020-12-01,
1524,virginia,VA,,,1107.0,958.0,1.0,,,,55872.0,4706.0,4312.0,34.0,,,2020-12-02,
1525,washington,WA,,,363.0,,1.0,,,5847.0,6542.0,936.0,550.0,3.0,,,2020-12-01,
1526,west virginia,WV,,5759.0,254.0,213.0,0.0,,,,7935.0,734.0,637.0,3.0,,,2020-12-01,
1527,wisconsin,WI,,,1848.0,1658.0,,,,,71952.0,8458.0,7222.0,11.0,,,2020-12-01,
1528,wyoming,WY,,,186.0,155.0,0.0,,,,12904.0,436.0,408.0,0.0,,,2020-11-30,
1529,federal,US,,,3408.0,1984.0,2.0,,,81044.0,,26388.0,21492.0,157.0,,,2020-12-01,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
1530,alabama,AL,,,645.0,435.0,2.0,,,,6984.0,834.0,724.0,34.0,,,2020-11-27,
1531,alaska,AK,,,111.0,,0.0,,,,10724.0,644.0,,1.0,,,2020-11-24,
1532,arizona,AZ,,,996.0,824.0,,,,41870.0,,2954.0,2627.0,28.0,,,2020-11-24,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
1533,arkansas,AR,,,780.0,,2.0,,,,19732.0,8786.0,8283.0,48.0,,,2020-11-24,"389 staff cases since Sept. 1, plus 399 from Wellpath, which stopped reporting cases on Sept. 1. The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count."
1534,california,CA,,,5903.0,4473.0,10.0,,,110344.0,,19479.0,16181.0,85.0,,,2020-11-25,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
1535,colorado,CO,,,725.0,,,,,16327.0,84678.0,3535.0,,7.0,,,2020-11-24,
1536,connecticut,CT,,19613.0,668.0,531.0,0.0,,,,23125.0,1809.0,1692.0,8.0,,,2020-11-24,
1537,delaware,DE,,,,,1.0,,,,,,,,,,2020-11-24,
1538,florida,FL,,,3735.0,3436.0,4.0,,,,84487.0,17015.0,16401.0,187.0,,,2020-11-25,
1539,georgia,GA,,,1070.0,976.0,2.0,,,,,2276.0,2050.0,81.0,,,2020-11-24,
1540,hawaii,HI,,,134.0,114.0,0.0,,,,8771.0,1226.0,936.0,1.0,,,2020-11-24,
1541,idaho,ID,3277.0,,274.0,220.0,0.0,,,9442.0,,2633.0,1874.0,5.0,,,2020-11-24,
1542,illinois,IL,5892.0,,2247.0,1735.0,1.0,,,16562.0,,3960.0,2770.0,41.0,,,2020-11-24,
1543,indiana,IN,,3646.0,850.0,640.0,3.0,,,,10031.0,2039.0,1815.0,35.0,,,2020-11-24,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
1544,iowa,IA,,,484.0,400.0,1.0,,,,27598.0,3199.0,2983.0,10.0,,,2020-11-24,
1545,kansas,KS,,,674.0,,3.0,,,,,4665.0,,11.0,,,2020-11-23,
1546,kentucky,KY,,,364.0,272.0,2.0,,,,,2486.0,1499.0,15.0,,,2020-11-24,
1547,louisiana,LA,2074.0,,567.0,521.0,5.0,,,7133.0,,2504.0,2347.0,31.0,,,2020-11-24,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
1548,maine,ME,,,,,,,,,5766.0,150.0,,,,,2020-11-24,
1549,maryland,MD,,34103.0,949.0,807.0,2.0,,,,36182.0,1468.0,1022.0,13.0,,,2020-11-23,"Maryland changed from counting individuals tested to tests administered, and this has been updated accordingly."
