state,abbreviation,staff_tests,staff_tests_with_multiples,total_staff_cases,staff_recovered,total_staff_deaths,staff_partial_dose,staff_full_dose,prisoner_tests,prisoner_tests_with_multiples,total_prisoner_cases,prisoners_recovered,total_prisoner_deaths,prisoners_partial_dose,prisoners_full_dose,as_of_date,notes
california,CA,,,4915,4208,10,,,107762,,18083,15556,83,,,11/20/2020,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
colorado,CO,,,570,,,,,16137,77785,2933,,6,,,11/18/2020,
connecticut,CT,,19212,612,505,0,,,,23065,1749,1692,8,,,11/17/2020,
delaware,DE,,2271,237,203,1,,,,6001,618,551,11,,,11/18/2020,"Delaware's Department of Correction has stopped reporting the death of a contract worker who died over the summer and will only report deaths of department employees. We continue to include the previously reported death in our totals here. The department also changed which tests administered on prisoners they are reporting. Previous numbers reflected only tests administered to inmates displaying symptoms. The DOC has additionally been conducting tests proactively and on recovered prisoners. These will be included in the total testing figure starting this week. Any positive results were already included, so this change only impacts testing numbers."
florida,FL,,,3647,3318,4,,,,84454,16999,16385,187,,,11/18/2020,
georgia,GA,,,1056,961,2,,,,,2182,1974,80,,,11/17/2020,
hawaii,HI,,,124,114,0,,,,7772,953,805,0,,,11/17/2020,
idaho,ID,3040,,239,201,0,,,9300,,2284,1863,5,,,11/17/2020,
illinois,IL,,,1974,1414,1,,,,,3347,2549,36,,,11/17/2020,
indiana,IN,,3331,744,553,3,,,,9305,1859,1691,33,,,11/17/2020,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
iowa,IA,,,421,290,1,,,,26233,2985,2390,7,,,11/17/2020,First staff death this week.
kansas,KS,,,617,,3,,,,,4539,,11,,,11/18/2020,
kentucky,KY,,,311,183,2,,,,,2056,1171,13,,,11/18/2020,
louisiana,LA,2045,,539,515,5,,,6909,,2428,2339,30,,,11/17/2020,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
maine,ME,,,25,15,0,,,,5640,150,119,0,,,11/17/2020,
maryland,MD,,31313,857,782,2,,,,34992,1199,1004,13,,,11/16/2020,"Maryland changed from counting individuals tested to tests administered, and this has been updated accordingly."
massachusetts,MA,,,330,,,,,,14747,846,,8,,,11/18/2020,
michigan,MI,,59035,1468,705,3,,,39500,255441,9763,5253,75,,,11/17/2020,
minnesota,MN,,,672,309,0,,,,65273,2744,1631,3,,,11/17/2020,"Subtracted 38 presumed positives from inmate recovery numbers, which we have to do each week. Staff returned to work numbers are fine as is. These 38 are from some time in April - since they switched to a new testing method, they don't have new presumed positives that will be added to this column"
mississippi,MS,,464,146,,,,,,2263,889,,,,,11/20/2020,
missouri,MO,,,,,,,,,,,,,,,,
montana,MT,,,232,,0,,,,,880,,2,,,11/16/2020,Including 55 staff members at the privately operated Crossroads Correctional Center
nebraska,NE,,,,,,,,2752,4111,577,281,3,,,11/20/2020,
nevada,NV,,,275,49,2,,,,,577,27,0,,,11/17/2020,"In late December, Nevada revised its number of deaths and this week's figures were adjusted accordingly."
new hampshire,NH,,,16,13,0,,,,148,1,1,0,,,11/17/2020,
new jersey,NJ,,72577,1286,,,,,,130665,3169,,52,,,11/15/2020,"In May 2021, New Jersey's Department of Corrections revised much of its historic data for tests and cases among prisoners and staff. These figures revealed many new cases but also exclude prisoner cases in residential community release programs that were reported prior to August of 2020, including one death. We have retained the one death in a reentry center, but otherwise are now reporting only data for prisons. We have updated this week accordingly."
new mexico,NM,,,384,102,0,,,,20673,1266,560,8,,,11/17/2020,
new york,NY,,,1617,1482,5,,,35556,,1709,1564,18,,,11/17/2020,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
north carolina,NC,,,1472,1168,4,,,35619,57615,4909,3928,22,,,11/17/2020,
north dakota,ND,991,11121,181,137,0,,,2449,14447,318,174,0,,,11/17/2020,"In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly."
ohio,OH,,,1983,1575,5,,,,42077,7299,5663,111,,,11/17/2020,
oklahoma,OK,,3868,524,,,,,,21565,5404,,31,,,11/17/2020,
oregon,OR,,,347,303,0,,,,9886,1365,1230,16,,,11/17/2020,
pennsylvania,PA,,3363,897,447,3,,,,31520,1544,741,22,,,11/17/2020,"In April of 2021, Pennsylvania revised its historic daily counts on deaths of prisoners due to COVID-19. We've adjusted our number here to reflect the change."
rhode island,RI,,,145,,0,,,,,279,,0,,,11/17/2020,"11/17 data shows 240 cases among residents and 43 cases among ""new admissions"", subtracting 4 presumed positives. 97 cases among facility staff and 61 cases among non-facility staff, subtracting 13 presumed positives. RIDOH contact confirmed that there were no new presumed positives after we received the 4 and 13 figures on 11/5"
south carolina,SC,,,549,513,2,,,,,2396,2162,31,,,11/17/2020,
south dakota,SD,,345,154,133,0,,,,4366,2078,1849,3,,,11/17/2020,
tennessee,TN,,,795,681,2,,,,34690,5941,5715,27,,,11/17/2020,
texas,TX,,85017,6222,5226,23,,,,233993,25781,22412,228,,,11/17/2020,We have revised this week's prisoner deaths totals based on data from the Texas Justice Initiative. The number of prisoner deaths was incorrect and has been updated.
utah,UT,,,129,92,,,,,7063,1161,358,,,,11/18/2020,
vermont,VT,,,25,24,0,,,2361,8117,240,238,0,,,11/17/2020,
virginia,VA,,,,,1,,,,,4260,,34,,,11/17/2020,
washington,WA,,,274,,1,,,5562,6216,610,512,2,,,11/17/2020,
west virginia,WV,,5090,195,154,0,,,,7518,606,333,2,,,11/17/2020,
wisconsin,WI,,,1534,1206,,,,,66437,7047,4881,10,,,11/17/2020,
wyoming,WY,,,126,99,0,,,,10559,391,305,0,,,11/17/2020,
federal,US,,,2792,1677,2,,,75896,,22203,18956,152,,,11/17/2020,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
alabama,AL,,,542,408,2,,,6783,,751,496,32,,,11/11/2020,
alaska,AK,,,74,,0,,,,8674,357,,0,,,11/10/2020,
arizona,AZ,,,855,769,,,,41380,,2667,2609,28,,,11/10/2020,
arkansas,AR,,,,,2,,,19294,,8343,7672,48,,,11/10/2020,"On Sept. 1, Arkansas changed its tracking system for staff cases. We've removed weeks after the switch when Arkansas was reporting unchanged figures until new tallies were available in November. The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count."
california,CA,,,,,10,,,104053,,16749,15183,82,,,11/10/2020,
colorado,CO,,,,,0,,,,65192,1996,,4,,,11/10/2020,
connecticut,CT,,18550,556,451,0,,,,22341,1686,1673,7,,,11/10/2020,
delaware,DE,,2253,219,203,1,,,,2118,579,548,11,,,11/11/2020,"Note from PIO about jump in staff tests: ""You'll note a big jump in the number of staff COVID-19 tests in this week's report. This jump includes 660 self-administered off-site COVID-19 tests that are provided to staff by DOC in partnership with state public health officials and are processed by a different 3rd party lab than the lab that processes our in-house staff tests. These off-site self-administered test kits began to be provided to staff in October as an additional proactive testing resource for our staff."""
florida,FL,,,3586,3249,,,,,84360,16969,16341,184,,,11/10/2020,
georgia,GA,,,1027,930,2,,,,,2095,1936,79,,,11/10/2020,
hawaii,HI,,,121,110,0,,,,7724,878,458,0,,,11/10/2020,
idaho,ID,2921,,209,188,0,,,9238,,2249,1835,4,,,11/10/2020,Idaho has had 3 staff members test positive for COVID a second time. They are only included in this case count once.
illinois,IL,2300,,1638,1193,1,,,14000,,3008,2296,34,,,11/10/2020,
indiana,IN,,3037,650,500,3,,,,8730,1726,1551,30,,,11/10/2020,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
iowa,IA,,,333,223,0,,,,23797,2426,1269,5,,,11/10/2020,
kansas,KS,,,557,,3,,,,,4406,,9,,,11/12/2020,
kentucky,KY,,,229,,2,,,,,1524,,13,,,11/10/2020,
louisiana,LA,2030,,528,505,5,,,6895,,2416,2337,30,,,11/10/2020,
maine,ME,,,16,8,0,,,,5428,125,14,0,,,11/10/2020,
maryland,MD,,28496,808,763,2,,,,33710,1039,994,13,,,11/09/2020,"Maryland changed from counting individuals tested to tests administered, and this has been updated accordingly."
massachusetts,MA,,,284,,,,,,12674,740,,8,,,11/11/2020,
michigan,MI,,51283,1183,514,3,,,39371,229095,8295,5231,74,,,11/10/2020,
minnesota,MN,,,561,247,0,,,,58037,2138,1435,3,,,11/09/2020,"Inmate recovery numbers exclude 38 presumed positives from some time in April. Since they switched to a new testing method, they don't have new presumed positive cases."
mississippi,MS,,464,146,,,,,,2120,816,,,,,11/10/2020,
missouri,MO,,11593,1618,,2,,,,51732,4226,,22,,,11/12/2020,
montana,MT,,,209,,0,,,,,865,,2,,,11/10/2020,"The number of staff cases, which includes 54 at the privately run Crossroads Correctional, inadvertantly included cases from a juvenile facility. We have removed those cases and updated our figures."
nebraska,NE,,,,,,,,2310,3479,429,269,3,,,11/13/2020,
nevada,NV,,,203,46,2,,,,,170,27,0,,,11/10/2020,"In late December, Nevada revised its number of deaths and this week's figures were adjusted accordingly."
new hampshire,NH,,,13,12,0,,,139,,1,1,0,,,11/10/2020,
new jersey,NJ,,67517,1213,,,,,,,,,52,,,11/08/2020,"In May 2021, New Jersey's Department of Corrections revised much of its historic data for tests and cases among prisoners and staff. These figures revealed many new cases but also exclude prisoner cases in residential community release programs that were reported prior to August of 2020, including one death. We have retained the one death in a reentry center, but otherwise are now reporting only data for prisons. We have updated this week accordingly."
new mexico,NM,,,325,93,0,,,,20673,1120,555,5,,,11/10/2020,
new york,NY,,,1558,,5,,,32818,,1644,1527,18,,,11/10/2020,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
north carolina,NC,,,1377,1114,2,,,35374,55756,4555,3811,22,,,11/12/2020,
north dakota,ND,990,10551,157,126,0,,,2422,13493,271,130,0,,,11/12/2020,"The testing figures are for 11/10, and the case and death figures are as of 11/12. In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly."
ohio,OH,,,1732,1478,5,,,40375,,7121,5563,111,,,11/10/2020,
oklahoma,OK,,3199,468,,,,,,20390,4702,,,,,11/10/2020,"Oklahoma later revised its prisoner numbers down, but has not provided an updated figure for this week."
oregon,OR,,,327,295,0,,,,9383,1315,1218,16,,,11/12/2020,
pennsylvania,PA,,3082,718,392,3,,,,28187,1093,605,18,,,11/10/2020,"In April of 2021, Pennsylvania revised its historic daily counts on deaths of prisoners due to COVID-19. We've adjusted our number here to reflect the change."
rhode island,RI,,,,,,,,,,,,,,,,
south carolina,SC,,,537,511,2,,,,,2378,2105,31,,,11/10/2020,
south dakota,SD,,321,144,96,0,,,,4179,2009,1768,1,,,11/10/2020,
tennessee,TN,,7579,708,645,2,,,,33907,5705,5687,27,,,11/10/2020,
texas,TX,,81982,5892,5020,21,,,,230577,25548,22357,225,,,11/10/2020,"We have revised this week's prisoner deaths totals based on data from the Texas Justice Initiative. In November, Texas re-classified several other deaths that had been presumed to be connected to coronavirus as unrelated to COVID."
utah,UT,,,103,70,0,,,,4115,886,358,0,,,11/09/2020,The number of tests conducted was mistakenly placed in the column for the total number of people tested. This has been updated.
vermont,VT,,,24,24,0,,,2315,7844,240,238,0,,,11/10/2020,
virginia,VA,,,,,1,,,,,4190,,33,,,11/10/2020,
washington,WA,,,241,,1,,,5502,6143,537,507,2,,,11/10/2020,
west virginia,WV,,4778,152,124,0,,,,7093,440,332,2,,,11/10/2020,
wisconsin,WI,,,1281,973,,,,,60927,5745,3952,10,,,11/10/2020,
wyoming,WY,,,101,71,0,,,,9026,304,183,0,,,11/10/2020,
federal,US,,,2526,1543,2,,,73247,,20495,17842,146,,,11/10/2020,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
alabama,AL,,,490,405,2,,,,6554,711,458,28,,,11/02/2020,
alaska,AK,,,64,,0,,,,8121,240,,0,,,11/03/2020,
arizona,AZ,,,792,731,,,,41196,,2648,2603,28,,,11/03/2020,
arkansas,AR,,,,,2,,,18771,,7820,7277,48,,,11/03/2020,"Arkansas is no longer reporting cumulative staff positive cases, but said they have 65 active staff cases now. The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count."
california,CA,,,4499,4032,10,,,101518,,16057,14753,80,,,11/03/2020,
colorado,CO,,,366,,,,,17395,58374,1718,,4,,,11/03/2020,
connecticut,CT,,15308,503,451,0,,,,22341,1674,1659,7,,,11/03/2020,
delaware,DE,,1587,211,202,1,,,,2046,579,546,11,,,11/03/2020,
florida,FL,,,3508,3177,4,,,,84331,16631,16255,180,,,11/04/2020,
georgia,GA,,,1019,912,2,,,,,2063,1862,78,,,11/03/2020,
hawaii,HI,,,121,109,0,,,,6431,803,399,0,,,11/04/2020,Hawaii's Department of Public Safety later revised its number of staff cases. Our total here has been updated accordingly.
idaho,ID,2650,,195,172,0,,,8977,,2169,1833,3,,,11/03/2020,
illinois,IL,,,1315,1058,0,,,13400,,2598,2081,31,,,11/04/2020,
indiana,IN,,2777,565,462,3,,,,8216,1597,1447,28,,,11/04/2020,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
iowa,IA,,,251,182,0,,,,21878,1394,1246,4,,,11/03/2020,
kansas,KS,,,475,,3,,,,,3653,,9,,,11/04/2020,
kentucky,KY,,,208,,2,,,,,1250,,13,,,11/03/2020,A number of the prisoner cases were transferred from county jails.
louisiana,LA,2023,,521,496,5,,,6847,,2413,2334,30,,,11/03/2020,
maine,ME,,,,,,,,4791,,79,,,,,11/04/2020,
maryland,MD,,27257,791,742,2,,,,32243,1026,973,11,,,11/02/2020,"Maryland changed from counting individuals tested to tests administered, and this has been updated accordingly."
massachusetts,MA,,,262,,,,,,11664,557,,8,,,11/04/2020,
michigan,MI,,36490,920,509,3,,,39282,196489,7284,5208,74,,,11/03/2020,
minnesota,MN,,,447,,0,,,,55766,1902,,2,,,11/03/2020,
mississippi,MS,464,,146,,,,,2096,,809,,,,,11/03/2020,
missouri,MO,,,1419,1051,2,,,,50979,3803,2781,10,,,11/03/2020,Missouri's total cases omitted deaths and has been updated.
montana,MT,,,199,,0,,,,,763,,0,,,11/02/2020,Staff cases include CoreCivic-run Crossroads Correctional.
nebraska,NE,,,,,,,,2134,3164,283,241,2,,,11/01/2020,
nevada,NV,,,171,43,2,,,,,42,27,0,,,11/03/2020,"In late December, Nevada revised its number of deaths and this week's figures were adjusted accordingly."
new hampshire,NH,,,12,12,0,,,134,,1,1,0,,,11/03/2020,
new jersey,NJ,,61374,1174,,,,,,117468,3080,,52,,,11/01/2020,"In May 2021, New Jersey's Department of Corrections revised much of its historic data for tests and cases among prisoners and staff. These figures revealed many new cases but also exclude prisoner cases in residential community release programs that were reported prior to August of 2020, including one death. We have retained the one death in a reentry center, but otherwise are now reporting only data for prisons. We have updated this week accordingly."
new mexico,NM,,,232,93,0,,,,19524,808,541,4,,,11/03/2020,
new york,NY,,,1522,,5,,,29726,,1590,1227,18,,,11/03/2020,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
north carolina,NC,,,1296,1059,2,,,35144,54440,4330,3512,20,,,11/03/2020,
north dakota,ND,987,9998,135,82,0,,,2342,12385,137,100,0,,,11/03/2020,"In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly."
ohio,OH,,,1569,1367,5,,,39003,,6959,5408,109,,,11/03/2020,
oklahoma,OK,,2763,427,,,,,,19623,4571,,26,,,11/03/2020,The number of tests conducted was mistakenly placed in the column for people tested. This has been updated.
oregon,OR,,,310,287,0,,,,8872,1274,1166,16,,,11/03/2020,
pennsylvania,PA,,2771,594,346,2,,,,20318,841,434,18,,,11/03/2020,"In April of 2021, Pennsylvania revised its historic daily counts on deaths of prisoners due to COVID-19. We've adjusted our number here to reflect the change."
rhode island,RI,,,104,,0,,,,,60,,0,,,11/05/2020,"Staff cases include 58 cases among non-facility staff and 59 cases among facility staff. However, 13 of these are ""presumptive positives"" and have been subtracted for a total of 104 cases. Among residents, 36 cases are ""new admissions infected prior to admission"" and 28 cases are among residents. Of these 4 were presumptive positives and have been subtracted. The inmate cases do include pre-trial detainees who were released before their tests came back positive. According to DOH contact, no one was released while they were positive"
south carolina,SC,,,528,494,2,,,8045,,2356,2074,31,,,11/03/2020,
south dakota,SD,,298,128,76,0,,,,3886,1791,1337,0,,,11/03/2020,
tennessee,TN,,,708,645,2,,,,33907,5705,5687,27,,,11/06/2020,
texas,TX,,78332,5599,4854,21,,,,221090,23429,22244,223,,,11/03/2020,"We have revised this week's prisoner deaths totals based on data from the Texas Justice Initiative. In November, Texas re-classified several other deaths that had been presumed to be connected to coronavirus as unrelated to COVID."
utah,UT,,,80,66,0,,,,3465,642,355,0,,,11/03/2020,Staff deaths backfilled based on 11/10 data. The number of tests conducted was mistakenly placed in the column for the total number of people tested. This has been updated.
vermont,VT,,,24,23,0,,,2295,7650,240,238,0,,,11/03/2020,
virginia,VA,,,885,811,1,,,,47204,3971,3766,33,,,11/03/2020,
washington,WA,,,207,,1,,,5496,6137,531,495,2,,,11/03/2020,
west virginia,WV,,4464,126,111,0,,,,6870,384,330,2,,,11/03/2020,
wisconsin,WI,,,1040,824,,,,,56168,4749,2995,10,,,11/03/2020,"(note: Prisoners_recovered = inactive positive cases - deaths, according to new update on the site)"
wyoming,WY,,,76,54,0,,,,8523,198,114,0,,,11/03/2020,
federal,US,,,2327,1396,2,,,70937,,19184,17041,141,,,11/03/2020,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
alabama,AL,,,455,388,2,,,,5339,532,416,27,,,10/26/2020,Updated this week's totals after seeing last week's numbers we caught halfway into a daily update.
alaska,AK,,,52,,0,,,,7523,186,,0,,,10/27/2020,
arizona,AZ,,,758,716,,,,40937,,2636,2593,28,,,10/27/2020,
arkansas,AR,,,,,2,,,18480,,7529,6856,48,,,10/27/2020,"On Sept. 1, Arkansas changed its tracking system for staff cases. We've removed weeks after the switch when Arkansas was reporting unchanged figures until new tallies were available in November. The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count."
california,CA,,,4317,3668,10,,,100145,,15620,14615,76,,,10/27/2020,
colorado,CO,,,294,190,0,,,16111,50385,1407,987,4,,,10/27/2020,
connecticut,CT,,13554,482,424,0,,,,20646,1673,1621,7,,,10/27/2020,
delaware,DE,,1584,208,171,1,,,,2002,575,546,11,,,10/28/2020,"The number of deaths for this week was incorrect in our first release. There were 11 deaths in Delaware, not 17. It has been updated in our data."
florida,FL,,,3441,3124,4,,,,82852,16624,16240,170,,,10/28/2020,
georgia,GA,,,996,890,2,,,,,2044,1840,78,,,10/27/2020,
hawaii,HI,,,120,108,0,,,,5284,475,399,0,,,10/27/2020,
idaho,ID,2548,,185,154,0,,,8807,,2154,1580,3,,,10/27/2020,
illinois,IL,,,1152,965,0,,,13200,,2300,1907,29,,,10/27/2020,
indiana,IN,,2622,525,434,3,,,,7462,1443,1391,28,,,10/27/2020,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
iowa,IA,,,199,169,0,,,,19731,1256,1229,4,,,10/27/2020,
kansas,KS,,,422,,3,,,,,3605,,7,,,10/29/2020,
kentucky,KY,,,194,,2,,,,,1164,,13,,,10/27/2020,
louisiana,LA,2015,,518,490,5,,,6834,,2410,2329,30,,,10/27/2020,
maine,ME,,,7,2,0,,,3040,,4,4,0,,,10/27/2020,
maryland,MD,,26023,783,708,2,,,,30749,1001,941,11,,,10/27/2020,"Maryland changed from counting individuals tested to tests administered, and this has been updated accordingly."
massachusetts,MA,,,233,,,,,,10765,476,,8,,,10/28/2020,
michigan,MI,,36490,826,508,3,,,39191,170860,6617,5205,74,,,10/27/2020,
minnesota,MN,,,311,,0,,,,52638,1232,,2,,,10/27/2020,
mississippi,MS,464,,146,,,,,2081,,804,,,,,10/27/2020,
missouri,MO,,,1198,816,2,,,,49259,3277,2246,5,,,10/27/2020,Missouri's total cases omitted deaths and has been updated.
montana,MT,,,157,,0,,,,,661,,0,,,10/26/2020,Includes 51 at Crossroads per CoreCivic spokesman
nebraska,NE,,,,,,,,,,,,,,,,
nevada,NV,,,159,42,2,,,,,41,27,0,,,10/27/2020,"In late December, Nevada revised its number of deaths and this week's figures were adjusted accordingly."
new hampshire,NH,,,12,12,0,,,124,,1,1,0,,,10/27/2020,
new jersey,NJ,,54827,1132,,,,,,,,,52,,,10/25/2020,"In May 2021, New Jersey's Department of Corrections revised much of its historic data for tests and cases among prisoners and staff. These figures revealed many new cases but also exclude prisoner cases in residential community release programs that were reported prior to August of 2020, including one death. We have retained the one death in a reentry center, but otherwise are now reporting only data for prisons. We have updated this week accordingly."
new mexico,NM,,,193,87,0,,,,18857,735,525,4,,,10/27/2020,
new york,NY,,,1479,1358,5,,,25785,,1566,817,18,,,10/27/2020,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
north carolina,NC,,,1233,1012,2,,,35036,53073,4110,3208,18,,,10/27/2020,
north dakota,ND,975,9408,114,82,0,,,2325,11338,102,24,0,,,10/27/2020,"In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly."
ohio,OH,,,1447,1304,5,,,37593,,6834,5357,107,,,10/27/2020,
oklahoma,OK,,2359,398,,,,,,19145,4520,,24,,,10/27/2020,The number of tests conducted was mistakenly placed in the column for people tested. This has been updated.
oregon,OR,,,298,280,0,,,,8472,1244,1120,16,,,10/27/2020,
pennsylvania,PA,,2670,553,330,2,,,,19978,723,408,14,,,10/27/2020,
rhode island,RI,,,104,,0,,,,,52,,0,,,10/27/2020,Backfilled deaths based on info from Rhode Island on 11/4/20
south carolina,SC,,,517,485,2,,,7985,,2334,1950,31,,,10/27/2020,
south dakota,SD,255,,94,44,0,,,2784,,1588,402,0,,,10/27/2020,
tennessee,TN,,7453,540,442,2,,,,33215,5686,5588,27,,,10/27/2020,
texas,TX,,76599,5438,4753,21,,,,217018,23362,21133,221,,,10/27/2020,"We have revised this week's prisoner deaths totals based on data from the Texas Justice Initiative. In November, Texas re-classified several other deaths that had been presumed to be connected to coronavirus as unrelated to COVID."
utah,UT,,,76,61,0,,,,2698,347,111,0,,,10/27/2020,Staff deaths backfilled based on 11/10 data. The number of tests conducted was mistakenly placed in the column for the total number of people tested. This has been updated.
vermont,VT,,,23,23,0,,,2267,7418,240,238,0,,,10/27/2020,
virginia,VA,,,867,796,1,,,,45214,3919,3662,33,,,10/28/2020,
washington,WA,,,196,,1,,,5482,6110,516,493,2,,,10/27/2020,
west virginia,WV,,7090,163,159,0,,,,6824,337,320,2,,,10/27/2020,"Until early November, West Virginia’s Department of Corrections and Rehabilitation reported staff cases for juvenile facilities and jails combined with prisons and work release. After they began providing itemized numbers on staff cases on Nov. 3, we only included staff numbers from prisons and work release sites in our data releases. In our online tracker, we have gone back to the past weeks of data and estimated the staff breakdown based on the overall size of the staff for each sector."
wisconsin,WI,,,886,688,0,,,,52156,3845,2438,3,,,10/27/2020,
wyoming,WY,,,59,45,0,,,,6976,119,108,0,,,10/29/2020,
federal,US,,,2198,1323,2,,,68668,,18166,15968,137,,,10/27/2020,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
alabama,AL,,,439,384,2,,,,3270,459,387,27,,,10/19/2020,
alaska,AK,,,39,,0,,,,7006,159,,0,,,10/20/2020,
arizona,AZ,,,729,712,,,,40756,,2621,2578,28,,,10/20/2020,
arkansas,AR,,,,,2,,,18035,,7084,6513,47,,,10/20/2020,"On Sept. 1, Arkansas changed its tracking system for staff cases. We've removed weeks after the switch when Arkansas was reporting unchanged figures until new tallies were available in November. The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count."
california,CA,,,4034,3322,10,,,98291,,15306,14298,70,,,10/20/2020,
colorado,CO,,,226,,0,,,15268,43665,1197,895,3,,,10/20/2020,
connecticut,CT,,13159,460,413,0,,,,20117,1669,1547,7,,,10/20/2020,
delaware,DE,,,,,1,,,,,,,,,,10/20/2020,
florida,FL,,,3377,3031,3,,,,82806,16599,16210,161,,,10/21/2020,
georgia,GA,,,968,873,2,,,,,1966,1808,74,,,10/20/2020,
hawaii,HI,,,120,103,0,,,,4752,430,395,0,,,10/20/2020,
idaho,ID,2386,,174,149,0,,,8479,,1994,1481,3,,,10/20/2020,
illinois,IL,,,1041,889,0,,,12650,,2110,1781,27,,,10/20/2020,
indiana,IN,,2427,490,411,2,,,,7097,1385,1321,27,,,10/20/2020,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
iowa,IA,,,176,159,0,,,,19241,1238,1205,4,,,10/20/2020,
kansas,KS,,,333,,3,,,,,2828,,5,,,10/20/2020,
kentucky,KY,,,169,,1,,,,,938,,13,,,10/20/2020,
louisiana,LA,2002,,512,481,5,,,6784,,2405,2324,29,,,10/20/2020,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
maine,ME,,,3,2,0,,,2259,,4,4,0,,,10/20/2020,
maryland,MD,,24453,755,690,2,,,,28599,993,882,11,,,10/20/2020,"At the end of August, Maryland changed from counting individuals tested to tests administered, and this has been updated accordingly."
massachusetts,MA,,,228,,,,,,10358,472,,8,,,10/22/2020,
michigan,MI,,29061,724,506,3,,,39090,139208,6207,5141,74,,,10/20/2020,The number of prisoners tested and total number of tests for this week were incorrectly transcribed. They have been updated.
minnesota,MN,,,229,,0,,,,49174,886,,2,,,10/20/2020,
mississippi,MS,464,,146,,,,,2064,,797,,,,,10/20/2020,
missouri,MO,,,1087,679,1,,,,48167,3048,2034,4,,,10/20/2020,Missouri's total cases omitted deaths and has been updated.
montana,MT,,,97,,0,,,,,458,,0,,,10/19/2020,"Montana stopped reporting staff figures for Crossroads Correctional Facility, which we continue to include here."
nebraska,NE,,,,,,,,2096,3075,260,234,2,,,10/23/2020,
nevada,NV,,,149,39,2,,,,,41,27,0,,,10/20/2020,"In late December, Nevada revised its number of deaths and this week's figures were adjusted accordingly."
new hampshire,NH,,,12,12,0,,,114,,1,1,0,,,10/20/2020,
new jersey,NJ,,48181,1104,,,,,,100918,3051,,52,,,10/18/2020,"In May 2021, New Jersey's Department of Corrections revised much of its historic data for tests and cases among prisoners and staff. These figures revealed many new cases but also exclude prisoner cases in residential community release programs that were reported prior to August of 2020, including one death. We have retained the one death in a reentry center, but otherwise are now reporting only data for prisons. We have updated this week accordingly."
new mexico,NM,,,159,83,0,,,,18546,671,521,4,,,10/20/2020,
new york,NY,,,1415,1340,5,,,23545,,977,780,18,,,10/20/2020,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
north carolina,NC,,,1157,958,1,,,34830,50696,3798,2967,18,,,10/20/2020,
north dakota,ND,972,8839,94,61,0,,,2314,10357,79,24,0,,,10/20/2020,"In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly."
ohio,OH,,,1376,1244,5,,,36219,,6714,5286,104,,,10/20/2020,
oklahoma,OK,,1770,366,,,,,,18332,4223,,21,,,10/20/2020,The number of tests conducted was mistakenly placed in the column for people tested. This has been updated.
